epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,48278.1,0.64899,0.67982,1.27069,0.79825,0.76781,0.81374,0.60005,0.85882,0.78099,1.17579,0.000376,0.000376,0.000376
106,48913.7,0.64403,0.67707,1.26674,0.80234,0.76642,0.815,0.60102,0.85692,0.77821,1.17388,0.00037,0.00037,0.00037
107,49625.7,0.64525,0.67144,1.26493,0.80255,0.76772,0.81502,0.60192,0.85484,0.77578,1.17198,0.000364,0.000364,0.000364
108,50398.9,0.63711,0.66468,1.25875,0.80615,0.76713,0.81652,0.60347,0.85264,0.77347,1.16989,0.000358,0.000358,0.000358
109,51164.4,0.64187,0.67026,1.26012,0.8057,0.76729,0.81742,0.60456,0.85023,0.7705,1.16744,0.000352,0.000352,0.000352
110,51932.4,0.62931,0.65976,1.25189,0.80769,0.76695,0.81794,0.60612,0.84825,0.7679,1.16554,0.000346,0.000346,0.000346
111,52620.5,0.62321,0.654,1.24223,0.81019,0.7655,0.81772,0.60726,0.84642,0.76467,1.16398,0.00034,0.00034,0.00034
112,53413,0.62874,0.65331,1.24989,0.80913,0.76698,0.81868,0.60836,0.8442,0.7625,1.16161,0.000334,0.000334,0.000334
113,54068.4,0.62151,0.64842,1.24547,0.81095,0.76576,0.81945,0.61002,0.84173,0.75993,1.15915,0.000328,0.000328,0.000328
114,54721.2,0.6265,0.64614,1.24642,0.81399,0.76705,0.82105,0.61116,0.83936,0.7576,1.15667,0.000322,0.000322,0.000322
115,55372.9,0.61839,0.63987,1.23893,0.81556,0.76585,0.82082,0.61186,0.83678,0.7547,1.15423,0.000316,0.000316,0.000316
116,56018.6,0.61996,0.64173,1.23892,0.81597,0.7656,0.82158,0.61263,0.83403,0.75203,1.15142,0.00031,0.00031,0.00031
117,56668.3,0.61818,0.63856,1.23572,0.81644,0.76662,0.8223,0.61406,0.83188,0.74939,1.14931,0.000304,0.000304,0.000304
118,57271.6,0.60891,0.62497,1.22982,0.81939,0.76837,0.82325,0.61494,0.82948,0.74685,1.14703,0.000298,0.000298,0.000298
119,57876.9,0.6139,0.63405,1.23285,0.81746,0.77015,0.82357,0.61629,0.82698,0.74441,1.14449,0.000292,0.000292,0.000292
120,58473.1,0.60861,0.62822,1.2303,0.81969,0.76936,0.82347,0.6174,0.82439,0.74209,1.14196,0.000286,0.000286,0.000286
121,59065,0.60043,0.6228,1.22432,0.81915,0.77042,0.82443,0.61897,0.82174,0.73914,1.13955,0.00028,0.00028,0.00028
122,59650.2,0.60045,0.6156,1.22098,0.81782,0.77403,0.82561,0.61944,0.81922,0.73672,1.13704,0.000274,0.000274,0.000274
123,60263.1,0.5969,0.61683,1.21909,0.81837,0.77531,0.82623,0.62128,0.81649,0.73428,1.1341,0.000268,0.000268,0.000268
124,60885,0.59554,0.61095,1.21514,0.81781,0.77679,0.8269,0.62255,0.81413,0.73212,1.13186,0.000262,0.000262,0.000262
125,61504.9,0.5931,0.6064,1.21313,0.81591,0.7789,0.82703,0.62319,0.81173,0.72967,1.1297,0.000256,0.000256,0.000256
126,62126.9,0.58501,0.60433,1.21137,0.81999,0.77858,0.82774,0.62403,0.80922,0.72736,1.12721,0.00025,0.00025,0.00025
127,62749,0.58563,0.60228,1.20977,0.82198,0.77773,0.82939,0.62544,0.80726,0.72506,1.12539,0.000244,0.000244,0.000244
128,63371,0.58685,0.60069,1.20659,0.82263,0.77929,0.83055,0.62672,0.80492,0.72274,1.12332,0.000238,0.000238,0.000238
129,63994.3,0.57625,0.59111,1.19882,0.81662,0.78079,0.82846,0.62723,0.80292,0.72043,1.12143,0.000232,0.000232,0.000232
130,64610.4,0.58304,0.59832,1.20579,0.81851,0.78197,0.82869,0.62851,0.80077,0.71827,1.11931,0.000226,0.000226,0.000226
131,65229.4,0.5779,0.59084,1.199,0.82289,0.77794,0.82756,0.6296,0.79873,0.71617,1.11723,0.00022,0.00022,0.00022
132,65853,0.57322,0.5882,1.19725,0.82301,0.77862,0.82803,0.63016,0.7968,0.71369,1.11532,0.000214,0.000214,0.000214
133,66478.1,0.57889,0.59394,1.20114,0.81796,0.78478,0.82851,0.6309,0.79499,0.71164,1.11387,0.000208,0.000208,0.000208
134,67097.8,0.56742,0.5813,1.19108,0.81937,0.78554,0.82952,0.6321,0.79284,0.70921,1.11179,0.000202,0.000202,0.000202
135,67720.7,0.5687,0.5813,1.19158,0.81893,0.78601,0.83015,0.63322,0.79067,0.70717,1.10986,0.000196,0.000196,0.000196
136,68344.3,0.56838,0.58508,1.1899,0.8209,0.78643,0.83055,0.63407,0.788,0.70465,1.10759,0.00019,0.00019,0.00019
137,68969.7,0.5639,0.57407,1.18631,0.82029,0.78677,0.83075,0.63526,0.7861,0.70224,1.1058,0.000184,0.000184,0.000184
138,69596.7,0.55875,0.57177,1.18261,0.82188,0.78833,0.83122,0.63615,0.78401,0.69957,1.10402,0.000178,0.000178,0.000178
139,70219.8,0.55635,0.56967,1.18128,0.82404,0.7883,0.83248,0.63709,0.78224,0.69761,1.10243,0.000172,0.000172,0.000172
140,70846.4,0.55722,0.57057,1.18182,0.82477,0.78927,0.83257,0.63783,0.78032,0.69572,1.10055,0.000166,0.000166,0.000166
141,71510.9,0.51997,0.4315,1.10669,0.82386,0.79221,0.83277,0.63882,0.77855,0.69376,1.09915,0.00016,0.00016,0.00016
142,72142.9,0.51605,0.42183,1.10076,0.82464,0.79287,0.83346,0.63936,0.7764,0.69191,1.09753,0.000154,0.000154,0.000154
143,72824.7,0.51131,0.4195,1.09859,0.8244,0.79409,0.83392,0.64013,0.77434,0.68948,1.09592,0.000148,0.000148,0.000148
144,73502,0.50711,0.41695,1.09395,0.82767,0.79141,0.83449,0.64144,0.77211,0.68753,1.09384,0.000142,0.000142,0.000142
145,74180.2,0.50579,0.41444,1.08855,0.82765,0.79044,0.83502,0.6426,0.76985,0.68591,1.09183,0.000136,0.000136,0.000136
146,74833.8,0.50261,0.41261,1.0886,0.8273,0.79286,0.8353,0.64308,0.76757,0.6838,1.08995,0.00013,0.00013,0.00013
147,75449.4,0.50286,0.41181,1.086,0.8284,0.79503,0.83715,0.64458,0.76516,0.68188,1.08797,0.000124,0.000124,0.000124
148,76149.2,0.49528,0.40946,1.0812,0.82748,0.79272,0.83542,0.64505,0.76256,0.67954,1.08601,0.000118,0.000118,0.000118
149,76888.7,0.49348,0.40528,1.07791,0.82889,0.79344,0.83565,0.64591,0.76008,0.67772,1.08399,0.000112,0.000112,0.000112
150,77620.9,0.49319,0.40081,1.07787,0.83012,0.79586,0.83729,0.64689,0.75795,0.67546,1.08234,0.000106,0.000106,0.000106
