epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,28713.5,0.58716,0.61316,1.20865,0.83487,0.76785,0.82795,0.63545,0.81141,0.81388,1.16901,0.000125,0.000125,0.000125
127,28952.3,0.58222,0.60093,1.20353,0.83455,0.76756,0.82756,0.63617,0.80877,0.81693,1.16741,0.000122,0.000122,0.000122
128,29215.8,0.57842,0.59728,1.20204,0.83448,0.76941,0.82769,0.63682,0.80615,0.82055,1.16507,0.000119,0.000119,0.000119
129,29454.3,0.57738,0.59788,1.20287,0.83739,0.76693,0.8275,0.63745,0.80426,0.8239,1.16358,0.000116,0.000116,0.000116
130,29693.5,0.57364,0.59072,1.19643,0.83478,0.76857,0.82746,0.63846,0.80161,0.82495,1.16153,0.000113,0.000113,0.000113
131,29954.3,0.57559,0.59844,1.19878,0.84102,0.76591,0.8278,0.63966,0.7988,0.82202,1.15864,0.00011,0.00011,0.00011
132,30196.4,0.5672,0.58717,1.19165,0.84184,0.76609,0.82827,0.6411,0.79584,0.81762,1.15558,0.000107,0.000107,0.000107
133,30435.8,0.57204,0.58675,1.196,0.841,0.76611,0.82769,0.64177,0.79314,0.81935,1.1533,0.000104,0.000104,0.000104
134,30675.4,0.56365,0.58345,1.19005,0.84176,0.76652,0.82741,0.6419,0.79103,0.82201,1.15178,0.000101,0.000101,0.000101
135,30937.7,0.56715,0.58839,1.18823,0.84389,0.76504,0.827,0.6427,0.78867,0.82655,1.15006,9.8e-05,9.8e-05,9.8e-05
136,31177,0.56143,0.57814,1.18407,0.84117,0.76608,0.82708,0.64355,0.78632,0.82919,1.14829,9.5e-05,9.5e-05,9.5e-05
137,31416,0.55801,0.57198,1.18267,0.84087,0.76517,0.82662,0.64436,0.78425,0.83235,1.14688,9.2e-05,9.2e-05,9.2e-05
